candidate_id,rank,score,reasoning
CAND_0039754,1,200.098651,"Recommended due to matches key skills (python, machine learning), relevant experience and suitable education."
CAND_0046064,2,196.134800,"Recommended due to matches key skills (python, bm25), relevant experience and suitable education."
CAND_0018499,3,193.162310,"Recommended due to matches key skills (embeddings, retrieval), relevant experience and suitable education."
CAND_0055905,4,189.396884,"Recommended due to matches key skills (python, embeddings), relevant experience and suitable education."
CAND_0081846,5,188.204083,"Recommended due to matches key skills (python, machine learning), relevant experience and suitable education."
CAND_0041611,6,184.975131,"Recommended due to matches key skills (llm, bm25), relevant experience and suitable education."
CAND_0086022,7,179.991213,"Recommended due to matches key skills (embeddings, llm), relevant experience and suitable education."
CAND_0092278,8,177.966009,"Recommended due to matches key skills (machine learning, llm), relevant experience and suitable education."
CAND_0011687,9,174.250816,"Recommended due to matches key skills (embeddings), relevant experience and suitable education."
CAND_0033861,10,172.805416,"Recommended due to matches key skills (machine learning, llm), relevant experience and suitable education."
CAND_0005260,11,172.439072,"Recommended due to matches key skills (python, embeddings), relevant experience and suitable education."
CAND_0008425,12,171.084569,"Recommended due to matches key skills (python, retrieval), relevant experience and suitable education."
CAND_0046525,13,168.567661,"Recommended due to matches key skills (machine learning, retrieval), relevant experience and suitable education."
CAND_0007411,14,164.790734,"Recommended due to matches key skills (retrieval, llm), relevant experience and suitable education."
CAND_0071974,15,164.742964,"Recommended due to matches key skills (machine learning, embeddings), relevant experience and suitable education."
CAND_0094759,16,155.336305,"Recommended due to matches key skills (llm), relevant experience and suitable education."
CAND_0088025,17,154.903552,"Recommended due to matches key skills (python, llm), relevant experience and suitable education."
CAND_0093547,18,153.630208,"Recommended due to matches key skills (python, machine learning), relevant experience and suitable education."
CAND_0077337,19,152.102067,"Recommended due to matches key skills (python, retrieval), relevant experience and suitable education."
CAND_0070398,20,148.482710,"Recommended due to matches key skills (python, embeddings), relevant experience and suitable education."
CAND_0086151,21,146.664989,"Recommended due to matches key skills (embeddings, bm25), relevant experience and suitable education."
CAND_0002025,22,145.836262,"Recommended due to matches key skills (python, llm), relevant experience and suitable education."
CAND_0026532,23,145.142542,"Recommended due to matches key skills (embeddings, retrieval), relevant experience and suitable education."
CAND_0028793,24,144.166307,"Recommended due to matches key skills (embeddings, retrieval), relevant experience and suitable education."
CAND_0005649,25,143.674461,"Recommended due to matches key skills (retrieval, llm), relevant experience and suitable education."
CAND_0066376,26,141.374386,"Recommended due to matches key skills (retrieval, llm), relevant experience and suitable education."
CAND_0069905,27,140.887676,"Recommended due to matches key skills (python), relevant experience and suitable education."
CAND_0055992,28,140.403842,"Recommended due to matches key skills (embeddings, retrieval), relevant experience and suitable education."
CAND_0080766,29,139.521863,"Recommended due to matches key skills (python, machine learning), relevant experience and suitable education."
CAND_0001610,30,138.664027,"Recommended due to matches key skills (retrieval, llm), relevant experience and suitable education."
CAND_0040887,31,138.470951,"Recommended due to matches key skills (python), relevant experience and suitable education."
CAND_0075249,32,138.383753,"Recommended due to matches key skills (machine learning, llm), relevant experience and suitable education."
CAND_0044883,33,138.017339,"Recommended due to matches key skills (embeddings, llm), relevant experience and suitable education."
CAND_0076904,34,137.998863,"Recommended due to matches key skills (machine learning, retrieval), relevant experience and suitable education."
CAND_0083307,35,137.351032,"Recommended due to matches key skills (python, embeddings), relevant experience and suitable education."
CAND_0044222,36,137.263038,"Recommended due to matches key skills (llm, bm25), relevant experience and suitable education."
CAND_0060072,37,137.158262,"Recommended due to matches key skills (machine learning, embeddings), relevant experience and suitable education."
CAND_0054123,38,135.288336,"Recommended due to matches key skills (python, llm), relevant experience and suitable education."
CAND_0020877,39,134.895234,"Recommended due to matches key skills (retrieval), relevant experience and suitable education."
CAND_0053695,40,134.416819,"Recommended due to matches key skills (embeddings), relevant experience and suitable education."
CAND_0030953,41,133.830794,"Recommended due to matches key skills (python), relevant experience and suitable education."
CAND_0061265,42,133.363213,"Recommended due to matches key skills (embeddings), relevant experience and suitable education."
CAND_0044855,43,133.256818,"Recommended due to matches key skills (machine learning, embeddings), relevant experience and suitable education."
CAND_0039383,44,132.634133,"Recommended due to relevant experience, suitable education and professional certifications."
CAND_0054394,45,132.426110,"Recommended due to matches key skills (machine learning, embeddings), relevant experience and suitable education."
CAND_0006557,46,132.386028,"Recommended due to matches key skills (retrieval), relevant experience and suitable education."
CAND_0051630,47,131.983301,"Recommended due to matches key skills (python, machine learning), relevant experience and suitable education."
CAND_0057701,48,131.212470,"Recommended due to matches key skills (python, machine learning), relevant experience and suitable education."
CAND_0007009,49,130.324678,"Recommended due to matches key skills (python, embeddings), relevant experience and suitable education."
CAND_0013613,50,129.982710,"Recommended due to matches key skills (machine learning, llm), relevant experience and suitable education."
CAND_0057563,51,129.778073,"Recommended due to matches key skills (machine learning), relevant experience and suitable education."
CAND_0037944,52,129.687415,"Recommended due to matches key skills (python, machine learning), relevant experience and suitable education."
CAND_0041568,53,129.663166,"Recommended due to matches key skills (bm25), relevant experience and suitable education."
CAND_0041669,54,128.955367,"Recommended due to matches key skills (machine learning, retrieval), relevant experience and suitable education."
CAND_0042029,55,128.849831,"Recommended due to matches key skills (embeddings), relevant experience and suitable education."
CAND_0042506,56,128.060676,"Recommended due to matches key skills (retrieval, llm), relevant experience and suitable education."
CAND_0064270,57,127.883494,"Recommended due to matches key skills (machine learning, embeddings), relevant experience and suitable education."
CAND_0081686,58,126.588122,"Recommended due to matches key skills (python, machine learning), relevant experience and suitable education."
CAND_0062247,59,126.405267,"Recommended due to matches key skills (retrieval, bm25), relevant experience and suitable education."
CAND_0010770,60,126.102917,"Recommended due to matches key skills (llm, bm25), relevant experience and suitable education."
CAND_0017960,61,125.747813,"Recommended due to matches key skills (python, machine learning), relevant experience and suitable education."
CAND_0074225,62,125.426962,"Recommended due to matches key skills (python, machine learning), relevant experience and suitable education."
CAND_0079387,63,125.123280,"Recommended due to matches key skills (python, bm25), relevant experience and suitable education."
CAND_0018722,64,124.905746,"Recommended due to matches key skills (python, llm), relevant experience and suitable education."
CAND_0051292,65,124.647991,"Recommended due to matches key skills (llm), relevant experience and suitable education."
CAND_0096172,66,124.604363,"Recommended due to matches key skills (python, llm), relevant experience and suitable education."
CAND_0060054,67,124.272100,"Recommended due to relevant experience, suitable education and professional certifications."
CAND_0093912,68,123.989975,"Recommended due to matches key skills (embeddings), relevant experience and suitable education."
CAND_0027691,69,123.731761,"Recommended due to matches key skills (python, embeddings), relevant experience and suitable education."
CAND_0050454,70,123.720468,"Recommended due to matches key skills (llm, bm25), relevant experience and suitable education."
CAND_0079064,71,123.119452,"Recommended due to matches key skills (llm), relevant experience and suitable education."
CAND_0070485,72,122.972262,"Recommended due to matches key skills (retrieval), relevant experience and suitable education."
CAND_0084819,73,121.902241,"Recommended due to matches key skills (retrieval, bm25), relevant experience and suitable education."
CAND_0094056,74,121.144186,"Recommended due to matches key skills (machine learning, embeddings), relevant experience and suitable education."
CAND_0091534,75,121.049954,"Recommended due to relevant experience, suitable education and professional certifications."
CAND_0029367,76,120.655906,Recommended due to relevant experience and suitable education.
CAND_0018549,77,120.563778,"Recommended due to matches key skills (llm), relevant experience and suitable education."
CAND_0030827,78,120.534225,"Recommended due to matches key skills (bm25), relevant experience and suitable education."
CAND_0039838,79,119.878293,"Recommended due to matches key skills (embeddings, llm), relevant experience and suitable education."
CAND_0053591,80,119.772415,"Recommended due to matches key skills (embeddings, bm25), relevant experience and suitable education."
CAND_0036184,81,119.661776,"Recommended due to matches key skills (embeddings), relevant experience and suitable education."
CAND_0099806,82,119.641069,"Recommended due to matches key skills (embeddings, bm25), relevant experience and suitable education."
CAND_0045250,83,118.420395,"Recommended due to matches key skills (embeddings, llm), relevant experience and suitable education."
CAND_0091909,84,118.390152,"Recommended due to matches key skills (llm), relevant experience and suitable education."
CAND_0011162,85,118.257782,"Recommended due to matches key skills (python, embeddings), relevant experience and suitable education."
CAND_0075574,86,118.035625,"Recommended due to matches key skills (bm25), relevant experience and suitable education."
CAND_0043228,87,117.166041,"Recommended due to matches key skills (machine learning), relevant experience and suitable education."
CAND_0064326,88,116.260677,"Recommended due to matches key skills (python, bm25), relevant experience and suitable education."
CAND_0070202,89,116.046815,"Recommended due to matches key skills (embeddings, llm), relevant experience and suitable education."
CAND_0039521,90,115.843749,"Recommended due to matches key skills (machine learning, embeddings), relevant experience and suitable education."
CAND_0076251,91,115.837435,"Recommended due to matches key skills (llm), relevant experience and suitable education."
CAND_0092245,92,115.603307,"Recommended due to matches key skills (embeddings, llm), relevant experience and suitable education."
CAND_0052328,93,115.516614,"Recommended due to matches key skills (python, llm), relevant experience and suitable education."
CAND_0013536,94,115.485746,"Recommended due to matches key skills (embeddings, llm), relevant experience and suitable education."
CAND_0096142,95,115.212942,"Recommended due to matches key skills (python, bm25), relevant experience and suitable education."
CAND_0010685,96,115.064931,"Recommended due to matches key skills (retrieval), relevant experience and suitable education."
CAND_0030031,97,114.448232,"Recommended due to matches key skills (python, retrieval), relevant experience and suitable education."
CAND_0079284,98,114.259489,"Recommended due to matches key skills (machine learning, llm), relevant experience and suitable education."
CAND_0022812,99,113.881448,"Recommended due to matches key skills (llm), relevant experience and suitable education."
CAND_0012957,100,113.770398,"Recommended due to matches key skills (python, machine learning), relevant experience and suitable education."
